Cooling Rate	Total Wire Length
0.00152487	81.7238
0.00129614	81.7238
0.00110172	81.4877
0.00093646	81.4877
0.000795991	81.4877
0.000676592	81.4877
0.000575103	81.4877
0.000488838	81.4877
0.000415512	81.4877
0.000353185	81.4877
0.000300208	81.4877
0.000255176	81.4877
0.0002169	81.4877
0.000184365	81.4877
0.00015671	81.4877
0.000133204	81.4877
0.000113223	81.4877
9.62397e-005	81.4877
8.18037e-005	81.4877
6.95332e-005	81.0735
5.91032e-005	81.0735
5.02377e-005	80.9151
4.27021e-005	79.9151
3.62967e-005	79.9151
3.08522e-005	79.9151
2.62244e-005	79.9151
2.22907e-005	78.3452
1.89471e-005	78.3452
1.61051e-005	78.3452
1.36893e-005	78.3452
1.16359e-005	78.3452
9.89052e-006	78.3452
8.40694e-006	74.8899
7.1459e-006	74.8899
6.07401e-006	74.8899
5.16291e-006	74.8899
4.38848e-006	74.8899
3.7302e-006	74.8899
3.17067e-006	74.8899
2.69507e-006	74.8899
2.29081e-006	74.8899
1.94719e-006	74.8899
1.65511e-006	71.0101
1.40684e-006	71.0101
1.19582e-006	71.0101
1.01645e-006	71.0101
8.63979e-007	71.0101
7.34382e-007	71.0101
6.24224e-007	71.0101
5.30591e-007	71.0101
4.51002e-007	71.0101
3.83352e-007	71.0101
3.25849e-007	71.0101
2.76972e-007	71.0101
2.35426e-007	71.0101
2.00112e-007	71.0101
1.70095e-007	71.0101
1.44581e-007	71.0101
1.22894e-007	71.0101
1.0446e-007	71.0101
8.87908e-008	71.0101
7.54722e-008	71.0101
6.41513e-008	71.0101
5.45286e-008	71.0101
4.63493e-008	71.0101
3.93969e-008	71.0101
3.34874e-008	71.0101
2.84643e-008	69.7002
2.41946e-008	69.7002
2.05655e-008	69.7002
1.74806e-008	69.7002
1.48585e-008	69.7002
1.26298e-008	69.7002
1.07353e-008	69.7002
9.125e-009	69.7002
7.75625e-009	69.7002
6.59281e-009	69.7002
5.60389e-009	69.7002
4.76331e-009	69.538
4.04881e-009	69.538
3.44149e-009	69.538
2.92527e-009	69.538
2.48648e-009	69.538
2.1135e-009	69.538
1.79648e-009	69.538
1.52701e-009	69.538
1.29796e-009	69.538
1.10326e-009	69.538
9.37773e-010	68.3757
7.97107e-010	68.3757
6.77541e-010	68.3757
5.7591e-010	68.3757
4.89523e-010	68.3757
4.16095e-010	63.2526
3.53681e-010	63.2526
3.00629e-010	63.2526
2.55534e-010	63.2526
2.17204e-010	63.2526
1.84624e-010	63.2526
1.5693e-010	63.2526
1.33391e-010	63.2526
1.13382e-010	63.2526
9.63746e-011	63.2526
8.19184e-011	63.2526
6.96307e-011	63.2526
5.91861e-011	62.8449
5.03082e-011	62.8449
4.27619e-011	62.8449
3.63477e-011	62.8449
3.08955e-011	62.8449
2.62612e-011	62.8449
2.2322e-011	62.8449
1.89737e-011	62.8449
1.61276e-011	62.482
1.37085e-011	62.482
1.16522e-011	62.482
9.90439e-012	59.2394
8.41873e-012	59.2394
7.15592e-012	59.2394
6.08253e-012	59.2394
5.17015e-012	59.2394
4.39463e-012	59.2394
3.73544e-012	59.2394
3.17512e-012	59.2394
2.69885e-012	59.2394
2.29402e-012	59.2394
1.94992e-012	59.2394
1.65743e-012	59.2394
1.40882e-012	59.2394
1.1975e-012	59.2394
1.01787e-012	58.4175
8.6519e-013	58.4175
0.85	58.4175
63971.8	127.944
57574.6	127.944
51817.1	127.944
46635.4	127.944
41971.9	127.944
37774.7	127.944
33997.2	127.944
30597.5	127.944
27537.8	127.944
24784	122.658
22305.6	122.658
20075	115.394
18067.5	112.531
16260.8	112.531
14634.7	111.5
13171.2	111.5
11854.1	106.199
10668.7	106.199
9601.82	102.45
8641.64	102.45
7777.47	100.44
6999.73	100.44
6299.75	100.44
5669.78	100.44
5102.8	100.44
4592.52	100.44
4133.27	100.44
3719.94	100.44
3347.95	100.44
3013.15	100.44
2711.84	100.44
2440.65	100.44
2196.59	100.44
1976.93	100.44
1779.24	100.44
1601.31	100.44
1441.18	100.44
1297.06	100.44
1167.36	100.44
1050.62	100.44
945.559	100.44
851.003	100.44
765.903	100.44
689.313	100.44
620.381	100.44
558.343	100.44
502.509	100.44
452.258	100.44
407.032	100.44
366.329	100.44
329.696	100.44
296.727	100.44
267.054	100.44
240.348	100.44
216.314	100.44
194.682	100.44
175.214	100.44
157.693	100.44
141.923	100.44
127.731	100.44
114.958	100.44
103.462	100.44
93.1159	100.44
83.8043	100.44
75.4239	100.44
67.8815	100.44
61.0934	100.44
54.984	100.44
49.4856	98.1893
44.5371	98.1893
40.0834	98.1893
36.075	98.1893
32.4675	98.1893
29.2208	98.1893
26.2987	98.1893
23.6688	98.1893
21.3019	98.1893
19.1717	98.1893
17.2546	98.1893
15.5291	98.1893
13.9762	98.1893
12.5786	98.1893
11.3207	98.1893
10.1887	98.1893
9.16979	98.1893
8.25281	98.1893
7.42753	98.1893
6.68477	98.1893
6.0163	98.1893
5.41467	98.1893
4.8732	98.1893
4.38588	98.1893
3.94729	98.1893
3.55256	98.1893
3.19731	98.1893
2.87758	98.1893
2.58982	98.1893
2.33084	98.1893
2.09775	98.1893
1.88798	98.1893
1.69918	98.1893
1.52926	98.1893
1.37634	98.1893
1.2387	98.1893
1.11483	98.1893
1.00335	98.1893
0.903014	98.1893
0.812712	98.1893
0.731441	98.1893
0.658297	96.9932
0.592467	96.3876
0.533221	96.3876
0.479899	96.3876
0.431909	94.7028
0.388718	94.7028
0.349846	94.7028
0.314861	90.7028
0.283375	90.7028
0.255038	90.7028
0.229534	90.7028
0.206581	90.7028
0.185923	84.7156
0.16733	84.7156
0.150597	83.4795
0.135538	83.4795
0.121984	83.4795
0.109785	83.4795
0.0988069	83.4795
0.0889262	83.4795
0.0800336	83.4795
